company	International Grain Trade Coalition	2
company	eBusiness Institute	1
company	Givaudan	25
company	Yext	2
company	Eiger Selfness Hotel **** Grindelwald	1
company	Swisscom (Schweiz) AG	8
company	Saint-Gobain	8
company	Jacobs	3
company	SMT Swiss Mains GmbH	2
company	Franke Kitchen Systems	7
company	7132 Hotel	2
company	Responsible Mining Foundation	3
company	EPFL	8
company	Renaissance Lucerne Hotel	2
company	Swiss AviationSoftware	3
company	Agilent Technologies, Inc.	154
company	Leica Microsystems	32
company	LEM	11
company	DistalMotion SA	9
company	Brasserie Louis	2
company	Deutsche Post	6
company	American Express Global Business Travel	2
company	Equinix	5
company	FIFA	11
company	Price f(x)	1
company	enz	1
company	Hudson RPO	1
company	Interima SA	1
company	Skouts Public	6
company	Triumph International	5
company	Scuola Universitaria Professionale della Svizzera Italiana (SUPSI)	25
company	Telcom Construction	3
company	Institut Le Rosey	4
company	Octapharma	17
company	Baubedarf Richner Miaution	2
company	Swarovski	17
company	SystemsAccountants	2
company	Alten	9
company	Amgen	32
company	German Federal Employment Agency, Nuremberg	8
company	Takeda Pharmaceutical	26
company	University of Lugano	14
company	University of Geneva - Faculty of Sciences	5
company	Genomic Health	12
company	United Nations Development Programme (UNDP)	35
company	César Ritz Colleges Switzerland	2
company	Colt Technology Services	1
company	Red Hat, Inc.	63
company	Restaurant Vulkan	1
company	25Hours Hotels	3
company	Nobel Biocare	8
company	Swissôtel Zurich	2
company	ADSANO Engineering AG	28
company	Berghaus Toni	8
company	Ewald Gattlen	1
company	General Mills - Europe/Australasia	7
company	International Organization for Migration	37
company	IOM Internationale Organisation für Migration	40
company	Corporate Offices	13
company	AXPO	9
company	Scout24 Schweiz AG	8
company	glaus personal gmbh	1
company	CLARIANT	9
company	Philipp Plein	1
company	Alsaro	3
company	Nutanix	1
company	BD	12
company	Fairmont Le Montreux Palace	1
company	Prime IT Consulting	5
company	Swiss International Air Lines	8
company	SITA	17
company	Grandhotel Giessbach	2
company	Wipro LTD	11
company	University of Zurich	48
company	Promedis24 Nord GmbH	2
company	Nordwand Group	1
company	Sika Corporation	10
company	Henkel AG	2
company	Lemo	2
company	SGS	9
company	moveagain	2
company	Autogrill Schweiz AG - Flughafen Zürich	2
company	DANONE	1
company	AXIS Insurance	4
company	tpc switzerland ag	2
company	GotCourts	1
company	Deckers Benelux B.V.	2
company	Numbrs Personal Finance AG	8
company	Red Commerce	3
company	Coopers Group AG	34
company	Start emploi	15
company	Bottomline Technologies Inc	2
company	ERNI	2
company	Dansk Flygtningehjælp	11
company	Sygnum	7
company	flash	2
company	Mercuri Urval	11
company	TopCC Rothrist	1
company	Personal Sigma Aarau AG	1
company	Hydrogen Group	7
company	PPG Industries	4
company	Salesforce	5
company	Mouseclick Technologies SARL	4
company	Post CH AG	8
company	MSF International	38
company	Sanofi	49
company	Ecole Polytechnique Fédérale de Lausanne - EPFL	1
company	Tecan	15
company	Hitachi Zosen Inova AG	21
company	IBM	17
company	Distran GmbH	3
company	ANOUK Fashion AG	1
company	Sarepta Therapeutics	5
company	Nord Stream 2	8
company	Lufthansa Systems FlightNav AG	1
company	The Adecco Group	9
company	Sunrise Communications	6
company	Robert Half	9
company	Haybury	21
company	Tally Weijl	4
company	Phonak	16
company	BOBST	23
company	chemberry	5
company	CK Montres & Bijoux Co., SA	1
company	General Dynamics European Land Systems	2
company	Peppercorn Human Experts AG	28
company	Ivy Strategy	1
company	FORTH CAPITAL	3
company	Version 1 Associates	1
company	Medicines for Malaria Venture (MMV)	27
company	Cleoo Services AG	1
company	Autoneum Management AG	2
company	TUI Service	2
company	Nextlink	3
company	Careerplus	15
company	Franke Coffee Systems	4
company	Little Ones UK Ltd	4
company	Bloomio	2
company	Backbone Photo	1
company	25hours Hotel Langstrasse	2
company	CAMLOG Biotechnologies GmbH Basel	6
company	Leica Geosystems AG	5
company	Sophia Genetics	50
company	Trafigura	3
company	Incyte Corporation	47
company	Cargill	13
company	izmocars	1
company	Layne	1
company	RIX GROUP	1
company	Schellenberg Wittmer	2
company	Microsoft	19
company	TESTQ Technologies	3
company	Multi Personnel	1
company	Sportunity	1
company	PMS SCHÖNENBERGER	1
company	DELL	7
company	3brain	4
company	4 Fun	6
company	Bulgari	17
company	MindMaze	19
company	FOKUS Talent	2
company	Orange	43
company	Leonteq AG	7
company	Kramer Gastronomie	2
company	XL Catlin	4
company	SR Technics	20
company	Cembra Money Bank	4
company	Nissan	2
company	Matti Recruitment	2
company	Novocure	11
company	University of Bern	20
company	Decentriq AG	7
company	Hitachi Vantara	8
company	Swiss Life	3
company	Paratus People	2
company	IntroPro	7
company	Hilton Garden Inn	6
company	AOC Aliancys AG	1
company	Group Functions	6
company	OpenText	2
company	BIOTECH GROWTH SA (Luxembourg)	1
company	The Church of Jesus Christ of Latter-day Saints	5
company	The Women’s International League for Peace and Freedom (WILPF)	1
company	Medicalis	6
company	Jobtis	1
company	Barclays	7
company	Interiman	25
company	Sixt SE	2
company	Adobe	3
company	Basel Institute on Governance	3
company	Cardinal Health	4
company	AstraZeneca	26
company	Tesaro	8
company	ADITO	1
company	Columbia Sportswear	2
company	HOTELIS	5
company	Albedis	8
company	Finansys	12
company	SwiStudium SA	2
company	Genentech	21
company	The Adecco Group Corporate	7
company	F Trust AG	1
company	Zurichberg Pictures	1
company	LATOKEN	1
company	Marco Fuhrer	7
company	Hotel Krone Lenk	1
company	Värdex Suisse	3
company	Herzog & de Meuron	1
company	Vontobel	9
company	Process Management Selection	1
company	Interima	6
company	Generali Switzerland	6
company	Aashiyaya gmbh	1
company	ABENA Personalmanagement	8
company	Hochschule Luzern	5
company	Safran Vectronix AG	4
company	Lionbridge	5
company	Advisca	2
company	Wingtra AG	1
company	Mandarin Oriental Hotel Group	6
company	KPMG	7
company	Airport Hotel Zürich	2
company	yellowshark	2
company	L.E.S.S. SA	6
company	PARTEMA ALTITUDE	3
company	Integra LifeSciences	4
company	EF Academy-International Boarding Schools	2
company	Climeworks	8
company	Rothschild & Co	4
company	Proofpoint	2
company	HUMAN COMPETENCE CENTER	2
company	citim GmbH	3
company	SIX	11
company	Art Deco Hotel Montana	1
company	Boston Scientific Corporation	52
company	University of Lausanne	55
company	Eaton	6
company	Teva Pharmaceuticals	11
company	Colgate-Palmolive	13
company	KRM	5
company	River Advice AG	10
company	Kolmar Group AG	5
company	SUEK AG	2
company	Whirlpool Corporation	108
company	Eyeware	8
company	Sixt rent-a-car AG	2
company	Tortorici & Partners	3
company	Fondation Campus Biotech Geneva	6
company	Gate Gourmet	7
company	TIER Mobility GmbH	1
company	IWB (Industrielle Werke Basel)	2
company	Brunel	17
company	GUESS EUROPE SAGL	11
company	Seabed Geosolutions	20
company	Alexion Pharmaceuticals,Inc.	16
company	JobTalente Gmbh	1
company	Wizz Air	7
company	LEM International SA	8
company	Ginsana SA	8
company	InterSoccer	3
company	Hanami International	4
company	ETH	8
company	Ruchti Aerni	1
company	IMD	14
company	Nestec S.A.	114
company	Medtronic	32
company	Veeva	3
company	Insel Gruppe	31
company	Global Alliance for Improved Nutrition	7
company	William Davidson Institute at the University of Michigan	4
company	Save the Children	1
company	UN Women	2
company	The Global Fund	23
company	Hewlett Packard Enterprise	5
company	Tiffins asian kitchen Zürich	2
